CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, down_btempcorr, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0011756988242268562" 
0, mujets, down_btempcorr, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.00065678259124979377" 
0, mujets, down_btempcorr, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.00028961396310478449" 
0, mujets, down_btempcorr, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0010287072509527206" 
0, mujets, down_btempcorr, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.00061702646780759096" 
0, mujets, down_btempcorr, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.001150607829913497" 
0, mujets, down_cb, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.011120536364614964" 
0, mujets, down_cb, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.00024768896400928497" 
0, mujets, down_cb, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-5.7838482462102547e-05" 
0, mujets, down_cb, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.00021881233260501176" 
0, mujets, down_cb, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-5.7609750001574866e-06" 
0, mujets, down_cb, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.00069428642746061087" 
0, mujets, down_cb, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0049566295929253101" 
0, mujets, down_cb, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0052133067511022091" 
0, mujets, down_cb, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0058744237758219242" 
0, mujets, down_cb, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0044482145458459854" 
0, mujets, down_cb, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-9.9075579782947898e-05" 
0, mujets, down_cb, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-2.31353933486389e-05" 
0, mujets, down_cb, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-8.7524931586813182e-05" 
0, mujets, down_cb, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-2.3043899091135245e-06" 
0, mujets, down_cb, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.00027771457098424435" 
0, mujets, down_cb, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0019826518837362528" 
